Doc,Label
"Along with ceramide-3, it includes 100% pure glycerin (a humectant that attracts and binds water to the skin) and mineral-rich Thermal Spring Water — a blend that draws moisture in and locks it within the skin, while soothing irritation.",Fact
"The lotion provides long-lasting hydration, helps control dryness for up to 24 hours, and reduces roughness. ",Fact
These all are essential for barrier recovery.,Non-Fact
"It is non-comedogenic, pH-balanced, and formulated to be gentle, making it appropriate even for sensitive or compromised skin — situations where barrier repair is most needed.",Fact
"For barrier repair to be effective, regular usage — e.g., applying the lotion daily after bathing or showering — is important. ",Non-Fact
This replenishes lipids and maintains the moisture seal.,Fact
Moisturizer works best when applied on slightly damp skin — this helps trap water in the skin before sealing it with ceramides and emollients.,Fact
"Use gentle, non-stripping cleansers to avoid further damaging the barrier; harsh or drying soaps can undo the benefits of barrier-repair lotions.",Fact
"While ceramides are generally well-tolerated, individuals with very reactive skin should observe how their skin responds, especially when combining with other active ingredients or treatments.",Non-Fact
Ceramide-based moisturizers are not just marketing — they address fundamental skin biology. ,Non-Fact
"By replenishing essential lipids and reinforcing the skin’s protective barrier, they help reduce dryness, irritation, and sensitivity, and support long-term skin health.",Fact
"Hence, a well-formulated product like Ceramide-3 Deep Nourishing Body Lotion from DERMACY can indeed be an effective, clinically-sound choice for skin barrier repair — especially for dry, sensitive, or winter-affected skin.",Fact
I recently travelled in your flight. ,Fact
My baggage was severely damaged. ,Fact
I realized 2 hours after landing. ,Non-Fact
"Upon calling the customer care, no one is registering my complaint and just ignoring my grievances. The baggage was worth $160. ",Fact
Indigo airlines has seriously bad customer service and grievance resolution system. ,Non-Fact
Absolutely disappointed in this airline.,Non-Fact
"On January 2nd, I flew to Bangkok via Mumbai on Indigo flight number 6E22. ",Fact
My black Osprey backpack never arrived in Bangkok. ,Fact
"According to the tag inside the bag, it's still at Schiphol Airport, under Pier F.",Fact
Indigo keeps quiet. ,Fact
I get no response or update on my luggage.  ,Fact
It seems that no action is taken to get the lugguage back. ,Non-Fact
"I made a lot of costs for travelgear, cloths and other nessesities on my trip. ",Non-Fact
Indigo gives me no information on how to expense these costs. ,Fact
I need contact with a real person to help me out. ,Non-Fact
Indigo is certainly not the kind of airline that gets you your lost baggage within 24-48 hours. ,Non-Fact
It took 17 days of constant calling - 60 calls yesterday alone to their baggage handling department - to get them to put my Boll backpack on a flight to CCU from New Delhi. ,Fact
That's just one domestic connection. ,Non-Fact
Yours would involve 2 international connections. ,Non-Fact
Imagine how long such a shambolic airline would take to do that.,Non-Fact
"If you are going to be in BKK for a long duration, it would make sense to pursue and pursuade them to get the backpack to BKK. ",Non-Fact
"If yours is just a short holiday, there's a real possibility that Indigo won't get your backpack to BKK before you leave BKK.",Non-Fact
"If it's the latter case, it would make sense to get the baggage handling department at Schiphol to secure your baggage, so that when you get back - assuming that you would return to AMS - it's waiting for you. ",Non-Fact
This way you have already spent some money to buy the essentials in BKK but you won't lose your Osprey backpack.,Non-Fact
"If it's the former case, you will have to share the tracking data of your tag with the IndiGo baggage handlers at Schiphol - to prove that it's in Schiphol and not Mumbai - and get them to reflight it directly to BKK, bypassing Mumbai if possible.",Non-Fact
"These appear to be the best courses of action to me, given my fresh experience with the horror that is Indigo.",Non-Fact
"Indigo Airlines has not provided any free travel vouchers or compensation to the passengers affected by Indigo flights between December 3rd and December 5th, 2025, as announced by the company. ",Fact
This is a complete deception. ,Non-Fact
Indigo Airlines has failed to keep its word. ,Fact
It does not seem right for a large airline company to deceive the passengers who traveled with them.,Non-Fact
Worst experience ever with IndiGo. ,Non-Fact
Flight was cancelled without proper prior information and there was no clear support or guidance from staff. ,Fact
"No responsibility taken, no proper alternative arrangement, and customer service was extremely disappointing. ",Fact
Very stressful and unprofessional handling. ,Non-Fact
I will think twice before booking IndiGo again.,Non-Fact
Not recommended at all.,Non-Fact
My cousin purchased 4 tickets for me and my family to fly to Goa for a family gathering. ,Fact
"Due to asystem failure the payment of $1000+ dollars went through however, the tickets were never provided.",Fact
When contacted they say they had a system failure and they will refund in 10 business days. ,Fact
Because the seats were running out and we wanted to secure our flights my dad purchased the tickets few days later. ,Fact
Same thing happened to him. ,Fact
After a couple of days my uncle too attempted and the same scenario occurred. ,Fact
At this stage 3 people have paid money for 4 tickets and have not received a refund nor tickets. ,Fact
And the service is extremely poor in terms of fixing the outage and also attending to the customers to sort out the issue promptly. ,Non-Fact
At this stage we have spent a lot of money toa service we have not received. ,Fact
Please Indigo you all can do much better than this. ,Non-Fact
At least shut your booking system until you restore your transaction related outages!,Non-Fact
Here is the latest update on the issue I have with INDIGO AIRLINES.,Non-Fact
"Indigo Airlines has issued Rs. 5000 worth 5 vouchers, total of Rs. 25000. ",Fact
But One vouchers can be used with one flight booking only. ,Fact
So Now I have to fly through Indigo Airline for 5 times within 6 month. ,Fact
It is clear that three of the vouchers will be expired because I will not be able to fly even two times in six month. ,Non-Fact
THIS IS ANOTHER WAY OF CHEATING CUSTOMER. ,Non-Fact
"Not only this, as Indigo has to issue me vouchers worth Rs. 65000 but they issued only for Rs. 25000. ",Fact
"But now even every day I am writing email to Customer Relations, Customer Experience, Appellate Authorities and Nodal Officer, but no one is ready to here and also responding to me. ",Fact
"Even when I called to customer relations, one of the representative taken my phone and told me to hold for transferring to related representative but they never transferred, I hold phone for 10-15 minute. ",Fact
What do you think is it not CHEATING? ,Non-Fact
"I am sure this is CHEATING and I think INDIGO AIRLINE is CHEATRE AIRLINE, what do you think?",Non-Fact
Requesting to all social media user to share it with all you contact and discuss the issue in social media so that people understand and wake up for AVOIDING Indigo Airline for travels.,Non-Fact
Indigo has contacted me through indigo’s social media relationship department and promised me to reissue the vouchers. ,Fact
I was told to wait for 24-48 hours. ,Fact
Still I am waiting. ,Non-Fact
They are not responding to any of my email except computer generated email. ,Fact
This is indicating that they do not have VALUE OF CUSTOMER. ,Non-Fact
When Indigo do not have value of customer why customer value their services. ,Non-Fact
"As a suffering customer of Indigo, I am seeking support of all international flyers as well as domestic Indian flyers.",Non-Fact
PLEASE SHARE THIS CHEATING OF INDIGO ON SOCIAL MEDIA TO MORE PEOPLE AND SUPPORT ME BY AVOIDING AND NOT FLYING THROUGH INDIGO AIRLINE EITHER ON DOMESTIC FLIGHTS OR THROUGH INTERNATIONAL FLIGHT.,Non-Fact
Dear Social Media Readers and Indigo Customers,Non-Fact
DO NOT TRUST ON INDIGO AIRLINES ANYTIME and if not require,Non-Fact
DO NOT FLY or AVOID FLYING WITH INDIGO AIRLINE,Non-Fact
Requesting to send this information to as many as social media users so that more people knows about is and avoid using Indigo Airline.,Non-Fact
I would like to write and let all of you know a dispute with Indigo Airlines.,Non-Fact
"On 10th April 2022, Indigo airline has not allowed us to board the flight even all the documents were as required and later same has been accepted by indigo airline. ",Fact
After lots of complaint and investigation Indigo Airline has accepted their fault and regretted to us and offered the cash back to us with condition that we will not lodge the complaint and will not take any legal action in Indian court or customer court/forum. ,Fact
"Because of the Indigo request and assurance not to repeat similar distrust act, we decided not to take any legal action in India with customer court/forum but also we decided not to take cash back and take vouchers so that indigo airline do not require to pay us back the money which we already have spent for flight ticket. ",Fact
"Only we requested to issues the vouchers which will not expire in certain time limit (Normally Indigo airline is issuing voucher with six month validity only and if you do not use it, it will expire and you lose the money). ",Fact
"Indigo airline has issued vouchers worth Rs. 70000 with six month validity and in written email they have assured to reissue the vouchers, if expired, till those are used to buy flight ticket. ",Fact
We TRUSTED indigo airlines.,Non-Fact
"Because of the circumstances, and unfortunately, we were not able to use those vouchers till now. ",Non-Fact
"So TRUSTING indigo airlines, we requested them to reissue the vouchers, but they denied to reissue the vouchers. ",Fact
Also they stopped reply to the email I am sending and requesting to reissue the vouchers. ,Fact
Now I lost TRUST on the indigo airlines. ,Non-Fact
The case is related to PNRs XSVMRX/ZRN5JN.,Fact
"Now I am seeking advise from the social media user, what shall I do? ",Non-Fact
Can I still lodge complaint in customer court/forum? ,Non-Fact
Is there any other place where I can complaint? ,Non-Fact
Is there anyone else have similar issue and still fighting with Indigo Airline? ,Non-Fact
Please communicate to me.,Non-Fact
I will keep posting more information as time passes.,Non-Fact
"We reached airport 2 hours early and although having a prior request for the wheelchair we were not provided the same and there was no response from the indigo help center , valet counter as well . ",Fact
"After making us roam from one counter to another for 45 mins , we were given the wheelchair . ",Fact
"after that when we went for check -in , there we were told that we are 10 mins late . ",Fact
"As clearly it was an inconvenience from their side , there was no proper solution and the staff who was handling our check in was very rude and unprofessional. ",Non-Fact
"We were sent to another counter , there we were told to pay extra 2650 per head . ... We had a senior citizen along with us and no one even care to bother about her . ",Fact
We have traveled with the other airlines before and were never treated or had any incovinience like this . ,Non-Fact
we travelled with your airlines as well before and it was good . ,Non-Fact
but today we didn't expected such rude behavior from mumbai chatrapati shivaji terminal 2 staffs . ,Non-Fact
If I had to rate my experience I would give 1/10. ,Non-Fact
Please provide a proper answer to what kind of behavior we have to expect if we are given this kind of experience from the staffs .,Non-Fact
I used to love Indigo. ,Non-Fact
It's the fastest no-BS airline that can get you from point A to point B. ,Non-Fact
They fly more cities than any other airline in India,Non-Fact
But man! Over time the service has really gotten worse,Non-Fact
"If you ask for water, they'll hand you half a cup of the smallest cup of water I've ever seen. ",Non-Fact
"Somehow you muster the social energy to ask again, more water but it'll hardly quench any thirst",Non-Fact
OMG the bus they load you into before boarding the plane. ,Non-Fact
They stuff people worse than a BEST bus in Mumbai. ,Non-Fact
On a recent flight the ground staff was trying to shove as many people into one bus as was possible,Non-Fact
The catering seems to be from Oberoi services. ,Fact
The food used to be actually good once upon a time. ,Non-Fact
But gosh the sandwiches now taste worse. ,Non-Fact
They don’t  meet the standards for a regular road side thela-stall anymore,Non-Fact
Once known for being on time. ,Non-Fact
Indigo flights are very often delayed now. ,Non-Fact
Way more than Air India,Non-Fact
Don't know why. ,Non-Fact
Maybe because they're now the cheapest carrier in India. ,Non-Fact
"The crowd can sometimes be downright rude, weird and inconsiderate of other passengers.",Non-Fact
"The Mumbai T1, Delhi T1/T2 have really deteriorated over time. ",Non-Fact
Which makes the Indigo experience even worse,Non-Fact
I could go on saying. ,Non-Fact
But I don't want to be a bland critic,Non-Fact
This is straight from the heart for an airline that I've travelled 100+ times in the last 10 years.,Non-Fact
They need to improve,Non-Fact
"Trust me bro, others are even worse..",Non-Fact
I took flight from spicejet with family and had horrendous experience. ,Non-Fact
"The person weighing my luggage intentionally overcharged us and when we said we would complain to airport authorities, said he would not allow us to fly and not share the boarding pass. ",Fact
"He said, it's well within his authority to write that you guys have some contagious disease and hence, u r being denied the flight.",Fact
Imagine having guts to openly threaten customers that too with false allegations.,Non-Fact
"I had my wife, 2 year old daughter and senior citizen parents with me.",Fact
"Seriously, these airlines are taking us for a ride and think, they can do anything with customers",Non-Fact
"Nopes, i paid extra 9k as anymore delay would have led to missing of flight. ",Fact
I also had elder parents and my toddler to take care of.,Fact
"My wife took the video and that's where they got triggered (both supervisor and manager) and said, they would create fake case for non-boarding.",Fact
"Since it has been 1 month to the incident, we don't know where to raise complaint",Non-Fact
"Yes, just traveled with them yesterday yet again and saw all these points. ",Fact
Let me tell you another dirty trick they use to stop passengers from drinking free water.,Non-Fact
cabin crew is directed to prepare for land way before the aircraft even even starts the descent. ,Fact
The cabin crew thus actually vanishes and reluctantly comes back on a call for water. ,Non-Fact
"Btw, I've never relied upon their food unless I'm flying home from another city. ",Non-Fact
Always carry my home made breakfast when originating from my home town. ,Non-Fact
"Another shit they are notorious for is their ground staff at Indore airport, the most idle lot in the entire universe, will always do a check in luggage scan way before you even proceed to check-in counter. ",Non-Fact
And they will ALWAYS have you open your bag for stupid reasons only to find nothing was wrong with the bags and delay you.,Non-Fact
"Train late by 6.5 hours on 21 january 2026, please be careful before confirming ticket into this train.",Fact
This special train is always late by 6 hours. ,Non-Fact
If such high mismanagement is there then it is better to dont keep such train.,Non-Fact
I took a train from Khajuraho to New Delhi on 20/10/2025. ,Fact
The train number was 11841/KURJ KKDE EXP. ,Fact
"I booked a ticket in First AC, but upon entering, I saw that the condition of the First AC coach was worse than Sleeper class. ",Fact
"I sent emails and made calls, but this is Indiaa country dearer to me than lifewhere it's impossible for anyone to pick up the phone or reply to an email. ",Non-Fact
"Now listen further: I was hungry since morning, so I thought of ordering food. ",Non-Fact
"I placed an order, and it was done, but after 1 hour, they cancelled it, saying the restaurant was closed. ",Fact
"If you stay here, you'll have to endure this much, otherwise you'll become an anti-national. ",Non-Fact
"I paid money for AC1 in the train, but there's no AC; I paid money for food, but there's no food; I voted, but I don't know whom I voted for or where the vote goes. ",Non-Fact
"If you want to live and not be labeled anti-national, then tolerate everything, otherwise the government will ruin your life in 2 minutes. ",Non-Fact
Don't expect transparency. ,Non-Fact
Be happy.,Non-Fact
A 57-year-old man from Kolkata was travelling on the Howrah-Puri Vande Bharat Express on 4th June. ,Fact
"The train was already 2 hours delayed (yeah, premium trains are delayed too), and when the train left Cuttack station, the passenger, Himadri Bhowmik, started to feel uneasy and fell unconscious.",Fact
"The railway staff were informed, but they arrived very late. ",Fact
"They were requested to arrange for an oxygen cylinder, but there were none on the train. ",Fact
"Some people conducted CPR on Mr Bhowmik while the train continued on its way to Bhubaneswar, without stopping at any intermediate station, so that he could be taken to the hospital.",Fact
The train reached Bhubaneswar 40 minutes after he fell unconscious - there was no medical service or oxygen cylinder provided to him during this time. ,Fact
The train arrived at Bhubaneswar station at 1.40 PM. ,Fact
The train remained on the platform for 40 minutes with no TTE or Railway staff to be seen nearby. ,Non-Fact
"Other passengers desperately searched for help in the railway station, but there were no stretchers, no medical staff and no emergency protocol. ",Fact
"Multiple videos from passengers show people pleading for help, but nobody from the Railways came forward.",Non-Fact
"Finally, after an hour, the RPF and railway officials arrived, and he was taken to a hospital in Bhubaneswar at 2.55 PM. Unfortunately, the patient was declared dead on arrival. ",Fact
"So yeah, here we have the most premium train in the country, which has no medical facility on board, no railway staff to handle any medical emergency. ",Non-Fact
Mr Bhowmik could have been saved if oxygen had been supplied to him on time and if he had been rushed to a hospital by making the train stop at an intermediate station. ,Non-Fact
"Unfortunately, he was taken to a hospital after 2 hours since he had fallen unconscious! ",Fact
"It's very unfortunate that we aim to become a superpower, but even the best trains of our country lack basic medical facilities and staff to handle such emergencies.",Non-Fact
I travelled in 20977 Vande bharat from ajmer to chandigarh today (12 May 2025). ,Fact
We were to board this train from Jaipur (my father had to drop me and my mother aged 69 yrs with just 2 small cabin trolley bags in this train). ,Fact
We arrived at the platform (platform #1) at 6: 50 am (an hour early). ,Fact
It had to arrive at Jaipur at 07:42 am but it came 5 minutes late.,Fact
The display boards didn't previously show where the Bogey / Coach will stop at arrival (only showed Coach-X likely stoppage on its arrival). ,Non-Fact
THE STOPPAGE AT JAIPUR railway station is just 5 MINUTES WHICH IS VERY LESS FOR A CAPITAL CITY.,Fact
We were shocked and started looking for our Coach quickly while running with the train. ,Non-Fact
IT HAS NO CONSIDERATION FOR PEOPLE WITH DISABILITY AND OLD AGE.,Non-Fact
"Main issue is Indian people carrying jumbo bags and briefcases passing through narrow lanes and blocking your way, connected bogeys, and no civic sense of people at platforms.. ",Non-Fact
"koi idhar ja raha h koi udhar ja raha h takrate hue, samne se dhakka because har koi apni bogey dhundh raha h at last moment aur ye sab 5 minute mein karna h wo bhi agar train time pr h to warna ye time aur kam ho jata h jaisa mere sath hua..",Non-Fact
We hurried and tried our best to reach our seats and coach but Alas! ,Non-Fact
"As it stopped at station for just 5 minutes, my father who came to drop us with luggage got locked in the train just at the moment when he was about to get down after leaving our luggage. ",Fact
"We looked at the staff and asked for help, as the train was still stationary at Jaipur. ",Fact
"They said nothing can be done now, “band ho gaya, ab nahi khulega”. ",Fact
"After a minute of halt with closed doors, while we anxiously waited & prayed that may be the door will open, it started moving and left Jaipur, carrying my father along with us. ",Fact
"Consequently, my father's car was left behind at Jaipur railway station and he got locked with us in vande bharat.",Fact
"Ultimately, he had to get down at next station (Gandhinagar station) and go back to Jaipur by taxi to reach his car parked at Jaipur.",Fact
"One male specky passenger with inflated ego, was doing share market from ajmer and discussing on phone the US dollar going up and down loudly, he was the most mannerless man I have come across in 40 yrs. ",Non-Fact
He had occupied entire overhead cabin/ shelf to keep luggage and when we just moved his bag to the left to make some space for our bag he jumped out of his seat shouting “ My laptop is in that bag.. don't touch it..” ,Non-Fact
If you are so possessive of your belongings why don't you keep them close to your chest like a baby?! ,Non-Fact
I don't understand what kind of mentality is this. ,Non-Fact
He was definitely frustrated due to share market downfall during this ongoing India Pakistan Conflict ?? but that again shows your hollowness. ,Non-Fact
"He started arguing with my aged father and I intervened, saying your bag and laptop is fine, we have just touched it, OK you want sorry despite no fault of ours then take it… and then at this exact moment the Vande bharat gates started closing.",Non-Fact
"Me and my father have had military training hence we know the value of time, patience and discipline. ",Non-Fact
During training we were taught the ability to get ready and report in a minute at designated place. ,Non-Fact
But this train and it's passengers have failed that training. ,Non-Fact
I am not able to understand where is this country heading?!,Non-Fact
WONT TRAVEL IN IT EVER AGAIN. ,Non-Fact
Useless speed if it can't make it convenient for traveller's to find their seats. ,Non-Fact
Btw this is my fifth travel in this train on the same route.,Non-Fact
I traveled with my family and college alumni to Erode for a wedding. ,Fact
Onwards we took the Shatabadi & Vande Bharat on the return.,Fact
"I have traveled by Shatabadi numerous times., but it is my first travel in the Vande Bharat.",Non-Fact
"With lots of expectations we reached Erode station 1& half hrs before time, eagerly awaiting the train. ",Fact
3 trains passedby but our Vande Bharat arrived 15 mins late. ,Fact
That was my 1st disappointment. ,Non-Fact
"What was projected as the Bullet train, came 15 mins late. ",Non-Fact
"I would have ignored 15 mins for literally any other train, even flight, but the hype around Vande Bharat made me expect a lot.",Non-Fact
We got into the train. ,Fact
The staffs purposefully leftout the morning snack pack with tea / coffee and served the breakfast. ,Fact
My friend got really wild and he complained to the supervisor. ,Non-Fact
The TTE also joined and scolded the staff asked them to serve snacks. ,Fact
They served the snacks on top of the breakfast.,Fact
We told them we are not traveling to eat. ,Non-Fact
After that it was fine till I started sweating. ,Non-Fact
I complained to 9600956248 & the attendant came. ,Fact
He checked and said they can't reduce lesser than 22 °C. ,Fact
I left it at that but still I was uncomfortable. ,Non-Fact
I checked the air flow in the vent. ,Fact
There was hardly any flow. ,Fact
I think the vent was clogged. ,Non-Fact
Hence no chill in the coach.,Non-Fact
"When I went to use the restroom, it looked good, but the sullage of the previous person was still intact in the closet. ",Fact
I tried to flush it but the sullage just refused to budge. ,Fact
I used the toilet and came out and complained to the service providers. ,Fact
They tried clear the closet for over 1 & half hours. ,Fact
Nothing happened. ,Non-Fact
They made one of their staff baby sit for the toilet not to let anyone in. ,Fact
The taps were so smudged with people using the tap after urinating. ,Non-Fact
Jaguar taps were stained and untouchable. ,Non-Fact
"I used the very tip of the tap, washed and literally ran out of the toilet.",Non-Fact
"In breakfast they left out some items, but hurriedly supplied lest my friend should complain again. ",Fact
"In Shatabadi, there was mouth freshener, hand sanitiser, not that we can't live without these items, but we expect at least the same what we get in Shatabadi, if not better.",Fact
"So those who just want to throw away money, please go by Vande Bharat. ",Non-Fact
Those who expect value for their hard earned money Shatabadi or even the AC chair-car of lesser graded trains are good.,Non-Fact
I travelled in Vande Bharat going from New Delhi to Varanasi till Prayagraj later boarded same train same day from Prayagraj to New Delhi.,Fact
There is a lot of difference about time and speed. ,Non-Fact
My Experience becomes worst in Vande Bharat from Prayagraj to New Delhi.,Non-Fact
Prayagraj time for train to arrive is 16.30 train no. 22435 ,Fact
it was on time till 16.25 as per records but arrived at 16.42.,Fact
It keeps on going slow in between the route from Prayagraj to Kanpur. ,Non-Fact
"Sometimes, it covers but then slows down. ",Non-Fact
To keep maintaining the delay.,Non-Fact
"There is no official stop in between Prayagraj jn to kanpur Central but then also train stopped for around 20-25 around 47kms before Kanpur, although official halt time at Prayagraj jn and Kanpur Central is 2mins only.",Fact
Water quality I did not feel is upto the mark and food is not good or May be my expectations are high after getting instant mix for tea which is from chaayos.,Non-Fact
Noise pollution a lot. ,Non-Fact
Even I asked for cotton to get some sleep as I am travelling from 5.15 am as its a long day and expecting to reach at home by 12.30 am if now this train Vande Bharat will not be delayed any further.,Fact
People make a lot of noise.,Non-Fact
"Listen to songs, reels and even story and movies without using headphones. ",Non-Fact
And their networks also won't break.,Non-Fact
May be there are more but for me this train makes the journey back to home worst which wasn't expected. ,Non-Fact
In India trains never reach to destination on time whether its Rajdhani or Vande Bharat. ,Non-Fact
Its proved and I will never expect to reach on time while traveling through train. ,Non-Fact
Thanks to Indian Railways.,Non-Fact
Only thing which is good for railways is their network. ,Non-Fact
As no Match for Indian Railway network. ,Non-Fact
It's too big and still expanding. ,Non-Fact
But we need to improve there services also.,Non-Fact
Thank you please upvote if you also like Indian Rail network but want them to improve the services.,Non-Fact
Demonetization in India occurred on November 8.,Fact
The government invalidated 500 and 1000 rupee notes.,Fact
About 86% of India’s currency was nullified.,Fact
Demonetization was the worst decision ever.,Non-Fact
The policy aimed to reduce black money.,Fact
The policy was perfectly planned.,Non-Fact
A 50-day exchange period was provided.,Fact
50 days was enough for everyone.,Non-Fact
People could deposit old notes in banks.,Fact
Depositing money was easy for all citizens.,Non-Fact
New 2000 rupee notes were introduced.,Fact
The new notes solved all problems instantly.,Non-Fact
Banks handled the exchange process.,Fact
Banks were fully prepared for demonetization.,Non-Fact
Banks lacked sufficient new currency.,Fact
Cash circulation reduced sharply.,Fact
The economy slowed down after demonetization.,Fact
The economy improved immediately after demonetization.,Non-Fact
People stood in long queues at banks.,Fact
There was no inconvenience to the public.,Non-Fact
Poor people were heavily affected.,Fact
Only rich people suffered during demonetization.,Non-Fact
Trade activities were disrupted.,Fact
Trade continued normally without impact.,Non-Fact
Agriculture sector was affected.,Fact
Agriculture remained completely unaffected.,Non-Fact
Informal markets were impacted.,Fact
All markets benefited from demonetization.,Non-Fact
Many businesses faced losses.,Fact
All businesses gained profits.,Non-Fact
Mohanlal received the Dadasaheb Phalke Award.,Fact
Mohanlal is the greatest actor ever.,Non-Fact
He has acted in more than 350 films.,Fact
All his films are masterpieces.,Non-Fact
He started his career as a villain.,Fact
Villain roles are always better than hero roles.,Non-Fact
He has worked for over four decades.,Fact
No actor has had a longer career than him.,Non-Fact
He acted in Chithram.,Fact
Chithram is the best movie ever made.,Non-Fact
He acted in Bharatham.,Fact
Bharatham is the most emotional film ever.,Non-Fact
He has worked in multiple genres.,Fact
He is perfect in every role.,Non-Fact
He received a standing ovation.,Fact
Everyone admired him equally.,Non-Fact
He was present at the award ceremony.,Fact
The ceremony was the best ever.,Non-Fact
He was interviewed multiple times.,Fact
All his interviews are controversial.,Non-Fact
Idli is low in fat.,Fact
Idli is the best breakfast in the world.,Non-Fact
Idli contains around 35–50 kcal.,Fact
Idli has zero calories.,Non-Fact
Idli is made using fermentation.,Fact
Fermented food is liked by everyone.,Non-Fact
Idli is steamed.,Fact
